No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,Num of packets
45285,31.107248,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23112904 Win=7911 Len=0,,,,,,,
45293,31.115158,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23115764 Win=7911 Len=0,,,,,,,
45294,31.115158,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23118624 Win=7903 Len=0,,,,,,,
45295,31.117275,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23126838 Win=7915 Len=0,,,,,,,
45296,31.117275,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23123978 Win=7911 Len=0,,,,,,,
45297,31.117275,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23121118 Win=7911 Len=0,,,,,,,
45299,31.117275,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23129332 Win=7915 Len=0,,,,,,,
45301,31.117275,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8093148 Win=2142208 Len=0,,,,,,,
45302,31.117275,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8095642 Win=2144256 Len=0,,,,,,,
45307,31.122202,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8098502 Win=2145024 Len=0,,,,,,,
45308,31.122202,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8103856 Win=2145280 Len=0,,,,,,,
45310,31.122585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23135052 Win=7903 Len=0,,,,,,,
45311,31.122585,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23137546 Win=7911 Len=0,,,,,,,
45313,31.123647,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23140406 Win=7915 Len=0,,,,,,,
45314,31.131468,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23145760 Win=7915 Len=0,,,,,,,
45321,31.164558,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23153974 Win=7896 Len=0,,,,,,,
45323,31.164558,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8111006 Win=2141184 Len=0,,,,,,,
45326,31.16486,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8112070 Win=2145280 Len=0,,,,,,,
45327,31.16486,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8116360 Win=2145280 Len=0,,,,,,,
45328,31.16486,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8120284 Win=2145280 Len=0,,,,,,,
45333,31.167779,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8123144 Win=2144000 Len=0,,,,,,,
45336,31.169153,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8126004 Win=2144000 Len=0,,,,,,,
45337,31.169153,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8128498 Win=2145280 Len=0,,,,,,,
45340,31.169812,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8134218 Win=2141184 Len=0,,,,,,,
45342,31.169812,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8136712 Win=2145280 Len=0,,,,,,,
45348,31.173565,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8144926 Win=2145280 Len=0,,,,,,,
45349,31.173565,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8150646 Win=2142208 Len=0,,,,,,,
45350,31.173565,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8153140 Win=2144256 Len=0,,,,,,,
45356,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23156834 Win=7911 Len=0,,,,,,,
45357,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23159694 Win=7903 Len=0,,,,,,,
45358,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23165048 Win=7914 Len=0,,,,,,,
45359,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23167908 Win=7915 Len=0,,,,,,,
45360,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23162188 Win=7911 Len=0,,,,,,,
45361,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23170402 Win=7915 Len=0,,,,,,,
45362,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23173262 Win=7911 Len=0,,,,,,,
45363,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23176122 Win=7911 Len=0,,,,,,,
45364,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23178616 Win=7915 Len=0,,,,,,,
45369,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23181476 Win=7911 Len=0,,,,,,,
45370,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23184336 Win=7911 Len=0,,,,,,,
45371,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23186830 Win=7911 Len=0,,,,,,,
45372,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23192550 Win=7915 Len=0,,,,,,,
45373,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23189690 Win=7911 Len=0,,,,,,,
45374,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23195044 Win=7915 Len=0,,,,,,,
45375,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8156000 Win=2145024 Len=0,,,,,,,
45376,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8161354 Win=2145280 Len=0,,,,,,,
45377,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8158860 Win=2145024 Len=0,,,,,,,
45379,31.192544,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23203258 Win=7915 Len=0,,,,,,,
45391,31.194761,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8165644 Win=2145280 Len=0,,,,,,,
45392,31.194761,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8169568 Win=2145280 Len=0,,,,,,,
45394,31.201977,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23207548 Win=7915 Len=0,,,,,,,
45395,31.201977,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23211472 Win=7915 Len=0,,,,,,,
45400,31.238331,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23219686 Win=7915 Len=0,,,,,,,
