"No.","Time","Source","Destination","Protocol","Length","Info"
"332","0.536376","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=463909 Win=8353 Len=0"
"342","0.537529","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=466769 Win=8353 Len=0"
"344","0.540359","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=472123 Win=8338 Len=0"
"355","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=474983 Win=8357 Len=0"
"356","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=477843 Win=8357 Len=0"
"357","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=481767 Win=8346 Len=0"
"358","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=484627 Win=8353 Len=0"
"359","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=487487 Win=8353 Len=0"
"360","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=489981 Win=8344 Len=0"
"361","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=494271 Win=8335 Len=0"
"362","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=496765 Win=8353 Len=0"
"363","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=499625 Win=8357 Len=0"
"364","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=504979 Win=8361 Len=0"
"365","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=512129 Win=8342 Len=0"
"366","0.546909","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=513193 Win=8361 Len=0"
"369","0.547444","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=516053 Win=8361 Len=0"
